"NID","temp","humidity","battery_level","UT","Longitude","Latitude","State"
4487,59.7,50.2,0.88,"2015-06-18 12:00:00",-115.54708,36.39182,"Hawthorne"
4074,100.1,49.7,0.42,"2016-04-09 00:00:00",-115.47888,36.35814,"Hawthorne"
3528,87.1,74.2,0.77,"2016-03-29 18:00:00",-97.47912,32.79395,"Fort Bliss"
3833,86.9,61.5,0.73,"2016-08-02 00:00:00",-81.46923,27.7058,"Hurlburt"
3961,84.7,70.3,0.73,"2016-08-01 00:00:00",-81.45786,27.66912,"Hurlburt"
3623,69.3,106.8,0.8,"2016-01-26 06:00:00",-115.52572,36.36664,"Hawthorne"
3736,60,90.9,0.75,"2016-06-17 12:00:00",-75.03974,45.2421,"Fort drum"
4367,108.1,45.8,0.58,"2016-02-27 12:00:00",-74.986,45.26082,"Fort drum"
3561,77.8,103.3,0.52,"2016-01-06 00:00:00",-100.0272,41.497,"Camp Ashland"
3709,96.8,51.4,0.76,"2016-05-04 18:00:00",-97.43551,32.76468,"Fort Bliss"
4354,101,76.3,0.89,"2015-02-08 06:00:00",-97.45821,32.80996,"Fort Bliss"
4401,99.9,49.4,0.72,"2016-08-11 00:00:00",-74.98549,45.21944,"Fort drum"
3859,104.5,53.8,0.77,"2016-03-28 18:00:00",-97.47589,32.79332,"Fort Bliss"
3679,56.2,87,0.89,"2015-05-18 12:00:00",-115.5269,36.43018,"Hawthorne"
4467,104.7,78.4,0.38,"2016-05-07 00:00:00",-99.99897,41.49113,"Camp Ashland"
3830,63.6,108.2,0.85,"2015-08-28 18:00:00",-74.96081,45.25824,"Fort drum"
3793,92.8,92.1,0.74,"2016-06-29 12:00:00",-81.53213,27.70878,"Hurlburt"
4135,74.9,55.2,0.7,"2015-10-07 00:00:00",-74.9905,45.25962,"Fort drum"
4487,72.3,108.9,0.94,"2015-01-10 06:00:00",-115.54708,36.39182,"Hawthorne"
3681,97.5,91.6,0.84,"2015-09-19 12:00:00",-100.02803,41.53253,"Camp Ashland"
4420,107.9,50.1,0.94,"2015-01-06 18:00:00",-81.5306,27.7307,"Hurlburt"
3990,106.4,66.6,0.88,"2015-06-25 00:00:00",-97.49387,32.72571,"Fort Bliss"
4117,99.3,107.5,0.86,"2015-08-02 18:00:00",-115.452,36.44293,"Hawthorne"
3592,94.7,47.6,0.73,"2016-07-13 18:00:00",-100.049,41.45603,"Camp Ashland"
3793,58.3,49.1,0.85,"2015-08-23 18:00:00",-81.53213,27.70878,"Hurlburt"
3679,98.9,106.1,0.73,"2016-07-15 12:00:00",-115.5269,36.43018,"Hawthorne"
4279,98,85,0.81,"2016-01-04 12:00:00",-81.53111,27.69132,"Hurlburt"
3800,86.9,89.8,0.77,"2016-03-23 12:00:00",-81.46387,27.65836,"Hurlburt"
3990,77.6,74.7,0.85,"2015-09-12 00:00:00",-97.49387,32.72571,"Fort Bliss"
3513,73.3,68.7,0.79,"2016-02-10 18:00:00",-74.98968,45.20481,"Fort drum"
4187,71,89.5,0.92,"2015-02-15 00:00:00",-97.4721,32.77283,"Fort Bliss"
4141,78.3,86.4,0.92,"2015-02-17 00:00:00",-75.00767,45.23878,"Fort drum"
4397,61.9,88.6,0.91,"2015-04-02 18:00:00",-115.47015,36.35268,"Hawthorne"
4302,64,87.6,0.83,"2015-10-28 18:00:00",-115.49126,36.4039,"Hawthorne"
4091,98.3,73,0.93,"2015-01-23 06:00:00",-100.02732,41.45441,"Camp Ashland"
4367,106.3,62.2,0.81,"2015-06-12 18:00:00",-74.986,45.26082,"Fort drum"
3998,87.8,57.8,0.54,"2016-04-13 00:00:00",-74.99192,45.23865,"Fort drum"
3604,65.2,68.4,0.94,"2015-01-09 18:00:00",-100.01375,41.46745,"Camp Ashland"
4002,94,97.4,0.82,"2015-12-06 00:00:00",-99.99636,41.49527,"Camp Ashland"
3897,59.5,90,0.77,"2016-04-21 18:00:00",-75.00357,45.27926,"Fort drum"
3588,99.2,59.6,0.76,"2016-05-03 18:00:00",-100.04144,41.53507,"Camp Ashland"
4091,97.3,65.9,0.84,"2015-09-23 00:00:00",-100.02732,41.45441,"Camp Ashland"
3561,99.8,63.1,0.45,"2016-03-08 00:00:00",-100.0272,41.497,"Camp Ashland"
4488,89.1,82.9,0.81,"2015-12-29 12:00:00",-81.51338,27.71698,"Hurlburt"
4375,60.5,92.6,0.62,"2016-01-17 06:00:00",-99.99663,41.45154,"Camp Ashland"
3958,55.9,65.8,0.89,"2015-05-29 12:00:00",-81.46669,27.74579,"Hurlburt"
4401,107.7,46.7,0.93,"2015-02-01 18:00:00",-74.98549,45.21944,"Fort drum"
4133,83,63.1,0.77,"2016-04-05 00:00:00",-115.47493,36.43337,"Hawthorne"
4488,59.8,90,0.79,"2016-02-15 06:00:00",-81.51338,27.71698,"Hurlburt"
3966,74.4,56.1,0.88,"2015-06-05 12:00:00",-115.5264,36.43856,"Hawthorne"
4133,76.2,45.8,0.77,"2016-04-10 00:00:00",-115.47493,36.43337,"Hawthorne"
4351,55.4,101.3,0.88,"2015-06-01 06:00:00",-74.95286,45.26563,"Fort drum"
4129,55.3,78.9,0.86,"2015-08-26 18:00:00",-81.49266,27.70068,"Hurlburt"
4109,74.4,100.1,0.85,"2015-09-06 12:00:00",-74.97159,45.23353,"Fort drum"
3588,85.2,94.3,0.88,"2015-06-20 18:00:00",-100.04144,41.53507,"Camp Ashland"
3513,72.4,62.5,0.92,"2015-03-06 00:00:00",-74.98968,45.20481,"Fort drum"
4279,107.2,55.8,0.91,"2015-04-18 00:00:00",-81.53111,27.69132,"Hurlburt"
4268,84.6,79.3,0.79,"2016-01-31 18:00:00",-81.53514,27.70049,"Hurlburt"
4354,84.9,45.4,0.72,"2015-07-14 12:00:00",-97.45821,32.80996,"Fort Bliss"
4487,86.9,72.5,0.86,"2015-07-28 00:00:00",-115.54708,36.39182,"Hawthorne"
3933,60.5,62.4,0.9,"2015-02-11 18:00:00",-74.95027,45.26996,"Fort drum"
4375,58,90.9,0.85,"2015-04-29 12:00:00",-99.99663,41.45154,"Camp Ashland"
4208,88.8,71.5,0.8,"2016-01-19 00:00:00",-81.52652,27.69622,"Hurlburt"
3673,61.2,84.9,0.87,"2015-06-28 00:00:00",-99.96615,41.50205,"Camp Ashland"
3728,105.4,47.2,0.85,"2015-09-02 12:00:00",-74.95018,45.22991,"Fort drum"
4167,69.9,88.7,0.75,"2016-06-04 18:00:00",-81.48386,27.65824,"Hurlburt"
3660,109.7,88.1,0.38,"2016-05-26 18:00:00",-97.47429,32.76037,"Fort Bliss"
3814,110,53.1,0.73,"2016-07-24 12:00:00",-100.02974,41.52101,"Camp Ashland"
4317,84.6,97.2,0.94,"2015-01-08 12:00:00",-81.47437,27.73138,"Hurlburt"
4487,71.5,70.7,0.89,"2015-05-21 18:00:00",-115.54708,36.39182,"Hawthorne"
3734,60.3,100.6,0.88,"2015-06-01 18:00:00",-115.52564,36.43696,"Hawthorne"
4186,83.5,50.3,0.85,"2015-08-27 06:00:00",-81.52691,27.74779,"Hurlburt"
3830,83.4,52.3,0.9,"2015-04-22 00:00:00",-74.96081,45.25824,"Fort drum"
4268,106.2,78.7,0.8,"2016-01-18 06:00:00",-81.53514,27.70049,"Hurlburt"
4443,97.2,67.2,0.77,"2016-04-14 18:00:00",-97.4717,32.78845,"Fort Bliss"
4117,75.6,67.3,0.73,"2016-07-16 18:00:00",-115.452,36.44293,"Hawthorne"
4433,85.6,52.9,0.46,"2016-07-09 00:00:00",-97.44327,32.73516,"Fort Bliss"
4351,80.5,85.4,0.78,"2016-02-28 12:00:00",-74.95286,45.26563,"Fort drum"
3679,90.1,105.9,0.75,"2016-05-23 06:00:00",-115.5269,36.43018,"Hawthorne"
3848,89,64.7,0.88,"2015-06-02 12:00:00",-74.99701,45.24351,"Fort drum"
4401,88.6,45.7,0.74,"2016-06-19 12:00:00",-74.98549,45.21944,"Fort drum"
3991,80.5,88.8,0.77,"2016-04-05 06:00:00",-75.00906,45.21474,"Fort drum"
4232,78.5,100.6,0.92,"2015-02-18 18:00:00",-100.01624,41.46461,"Camp Ashland"
3565,97.5,58.6,0.74,"2015-06-30 12:00:00",-99.98972,41.49483,"Camp Ashland"
4222,88.9,52.2,0.75,"2016-05-22 00:00:00",-115.49695,36.37476,"Hawthorne"
4148,105.7,47.1,0.93,"2015-01-16 18:00:00",-115.49922,36.36511,"Hawthorne"
4420,78.4,78.8,0.79,"2016-02-01 18:00:00",-81.5306,27.7307,"Hurlburt"
4375,79.3,99.5,0.76,"2015-08-06 00:00:00",-99.99663,41.45154,"Camp Ashland"
3991,57.1,78.1,0.73,"2016-07-20 12:00:00",-75.00906,45.21474,"Fort drum"
4074,72.6,52.1,0.91,"2015-01-27 00:00:00",-115.47888,36.35814,"Hawthorne"
4167,78.1,89.3,0.94,"2015-01-12 18:00:00",-81.48386,27.65824,"Hurlburt"
4292,60.6,58.7,0.8,"2016-01-26 12:00:00",-74.96775,45.21805,"Fort drum"
4138,87.6,50.5,0.92,"2015-02-16 12:00:00",-115.47223,36.37771,"Hawthorne"
4302,66.7,45,0.89,"2015-05-10 12:00:00",-115.49126,36.4039,"Hawthorne"
4351,101.2,53.1,0.76,"2016-05-11 00:00:00",-74.95286,45.26563,"Fort drum"
3909,96.5,65.2,0.81,"2016-01-02 18:00:00",-100.04842,41.54721,"Camp Ashland"
3848,79.5,98.7,0.79,"2016-02-17 06:00:00",-74.99701,45.24351,"Fort drum"
3764,87.5,97.3,0.89,"2015-05-16 12:00:00",-115.47118,36.36853,"Hawthorne"
3688,86.7,67,0.89,"2015-05-15 12:00:00",-97.44618,32.7234,"Fort Bliss"
4117,92.3,98.5,0.74,"2016-06-28 12:00:00",-115.452,36.44293,"Hawthorne"
3990,91.2,57.5,0.8,"2016-01-29 06:00:00",-97.49387,32.72571,"Fort Bliss"
4187,80.3,103,0.76,"2016-04-19 18:00:00",-97.4721,32.77283,"Fort Bliss"
4129,109.8,58.9,0.93,"2015-01-29 12:00:00",-81.49266,27.70068,"Hurlburt"
3835,56.3,89.1,0.82,"2015-12-11 12:00:00",-81.54351,27.73274,"Hurlburt"
3513,109.6,74.5,0.92,"2015-02-17 00:00:00",-74.98968,45.20481,"Fort drum"
3673,65.4,56.7,0.73,"2016-07-14 06:00:00",-99.96615,41.50205,"Camp Ashland"
4302,105.1,83.9,0.84,"2015-09-28 18:00:00",-115.49126,36.4039,"Hawthorne"
4104,106.1,90.3,0.87,"2015-06-29 12:00:00",-97.43316,32.77631,"Fort Bliss"
3810,97.1,68.1,0.82,"2015-11-21 12:00:00",-115.49047,36.42567,"Hawthorne"
3734,97.3,85.1,0.75,"2016-06-08 00:00:00",-115.52564,36.43696,"Hawthorne"
4071,100.3,99.3,0.89,"2015-05-08 12:00:00",-81.54179,27.71191,"Hurlburt"
3915,86.7,48.4,0.85,"2015-09-12 00:00:00",-97.46726,32.74475,"Fort Bliss"
4167,81.4,83.2,0.93,"2015-01-20 12:00:00",-81.48386,27.65824,"Hurlburt"
4121,70.3,73.5,0.8,"2016-01-26 12:00:00",-100.03726,41.51464,"Camp Ashland"
3709,99.8,51.3,0.91,"2015-03-14 18:00:00",-97.43551,32.76468,"Fort Bliss"
4277,72.4,55.2,0.78,"2016-03-13 06:00:00",-115.45626,36.39939,"Hawthorne"
4040,77,50.5,0.75,"2016-05-28 18:00:00",-115.52342,36.43653,"Hawthorne"
3918,78.8,59.8,0.92,"2015-02-28 00:00:00",-81.50456,27.65612,"Hurlburt"
4268,75.3,69.9,0.86,"2015-07-25 00:00:00",-81.53514,27.70049,"Hurlburt"
4186,84.9,95.5,0.83,"2015-10-30 18:00:00",-81.52691,27.74779,"Hurlburt"
3961,80,79.4,0.89,"2015-05-06 18:00:00",-81.45786,27.66912,"Hurlburt"
4354,73.5,51.6,0.6,"2015-10-28 00:00:00",-97.45821,32.80996,"Fort Bliss"
3958,106.5,64.4,0.79,"2016-02-04 18:00:00",-81.46669,27.74579,"Hurlburt"
4448,63,76.9,0.79,"2016-02-12 18:00:00",-99.9792,41.51784,"Camp Ashland"
3592,101.1,50,0.92,"2015-02-11 18:00:00",-100.049,41.45603,"Camp Ashland"
4135,95.4,98.1,0.79,"2015-06-21 06:00:00",-74.9905,45.25962,"Fort drum"
3777,67,105.1,0.73,"2016-07-11 18:00:00",-75.03751,45.26606,"Fort drum"
3909,78.7,97.8,0.87,"2015-07-26 12:00:00",-100.04842,41.54721,"Camp Ashland"
4277,71.3,104.4,0.85,"2015-09-07 18:00:00",-115.45626,36.39939,"Hawthorne"
4262,92.2,91,0.83,"2015-11-11 00:00:00",-115.49963,36.4456,"Hawthorne"
4197,60.6,87.5,0.88,"2015-06-13 06:00:00",-97.4297,32.79111,"Fort Bliss"
3810,80.4,107.8,0.73,"2016-08-06 06:00:00",-115.49047,36.42567,"Hawthorne"
4467,100.9,73.8,0.65,"2015-09-20 18:00:00",-99.99897,41.49113,"Camp Ashland"
4268,77.9,79.4,0.88,"2015-06-24 06:00:00",-81.53514,27.70049,"Hurlburt"
4262,83.5,91.4,0.92,"2015-02-15 06:00:00",-115.49963,36.4456,"Hawthorne"
3734,72.3,95.4,0.85,"2015-08-21 06:00:00",-115.52564,36.43696,"Hawthorne"
4074,78,64.2,0.28,"2016-08-18 06:00:00",-115.47888,36.35814,"Hawthorne"
4493,81.3,81,0.77,"2016-04-23 06:00:00",-74.96174,45.27124,"Fort drum"
4065,62.5,102.4,0.73,"2016-07-19 00:00:00",-81.54641,27.7201,"Hurlburt"
4433,59.6,45.2,0.75,"2015-07-24 00:00:00",-97.44327,32.73516,"Fort Bliss"
3700,87.2,66.7,0.84,"2015-10-03 00:00:00",-99.95644,41.48475,"Camp Ashland"
3975,61.5,46.5,0.83,"2015-11-07 06:00:00",-97.40872,32.78419,"Fort Bliss"
3528,105.9,74.5,0.76,"2016-05-15 06:00:00",-97.47912,32.79395,"Fort Bliss"
3728,80.1,103.6,0.73,"2016-07-24 12:00:00",-74.95018,45.22991,"Fort drum"
4401,73.3,104.6,0.78,"2016-03-14 06:00:00",-74.98549,45.21944,"Fort drum"
3736,86.7,92,0.81,"2015-12-07 12:00:00",-75.03974,45.2421,"Fort drum"
4229,107.6,45,0.81,"2015-12-13 18:00:00",-75.04921,45.28741,"Fort drum"
4031,82.4,45.3,0.86,"2015-08-07 00:00:00",-75.02076,45.24581,"Fort drum"
3966,73.1,97.9,0.82,"2015-11-26 00:00:00",-115.5264,36.43856,"Hawthorne"
4302,55.6,56.1,0.73,"2016-08-04 00:00:00",-115.49126,36.4039,"Hawthorne"
4141,88.5,71.5,0.84,"2015-09-25 18:00:00",-75.00767,45.23878,"Fort drum"
4109,61.2,75.7,0.76,"2016-04-30 00:00:00",-74.97159,45.23353,"Fort drum"
3998,98.9,45.9,0.6,"2016-02-04 00:00:00",-74.99192,45.23865,"Fort drum"
3991,83.1,81.1,0.82,"2015-11-26 06:00:00",-75.00906,45.21474,"Fort drum"
4222,92.5,106.4,0.83,"2015-11-03 06:00:00",-115.49695,36.37476,"Hawthorne"
3966,67,61.1,0.83,"2015-10-23 12:00:00",-115.5264,36.43856,"Hawthorne"
3909,92.5,105.7,0.79,"2016-02-05 18:00:00",-100.04842,41.54721,"Camp Ashland"
4065,91.3,98.1,0.86,"2015-08-29 06:00:00",-81.54641,27.7201,"Hurlburt"
4375,81.8,59.9,0.79,"2015-06-29 00:00:00",-99.99663,41.45154,"Camp Ashland"
3565,74.5,74.6,0.49,"2016-02-03 06:00:00",-99.98972,41.49483,"Camp Ashland"
4074,95.8,55.5,0.44,"2016-03-24 06:00:00",-115.47888,36.35814,"Hawthorne"
4310,92.9,62.9,0.9,"2015-04-02 12:00:00",-99.97013,41.50806,"Camp Ashland"
3918,58.2,69.5,0.9,"2015-04-28 12:00:00",-81.50456,27.65612,"Hurlburt"
3764,59,59.3,0.9,"2015-05-05 18:00:00",-115.47118,36.36853,"Hawthorne"
3604,76.7,107.8,0.91,"2015-03-31 06:00:00",-100.01375,41.46745,"Camp Ashland"
4121,99.6,56.9,0.78,"2016-03-15 18:00:00",-100.03726,41.51464,"Camp Ashland"
3985,76.1,65.4,0.88,"2015-06-16 00:00:00",-115.51587,36.42559,"Hawthorne"
4448,92,60,0.77,"2016-04-10 18:00:00",-99.9792,41.51784,"Camp Ashland"
4138,66.5,75.2,0.84,"2015-10-08 06:00:00",-115.47223,36.37771,"Hawthorne"
3528,74.3,98.6,0.73,"2016-07-22 18:00:00",-97.47912,32.79395,"Fort Bliss"
4104,102.7,76.5,0.81,"2015-12-21 06:00:00",-97.43316,32.77631,"Fort Bliss"
4279,102.8,72.9,0.8,"2016-01-28 06:00:00",-81.53111,27.69132,"Hurlburt"
3991,80.7,88.8,0.83,"2015-10-17 00:00:00",-75.00906,45.21474,"Fort drum"
3630,68.1,101.8,0.92,"2015-02-09 06:00:00",-100.03085,41.49482,"Camp Ashland"
4487,70.2,77.8,0.91,"2015-03-12 00:00:00",-115.54708,36.39182,"Hawthorne"
4438,68.8,63.4,0.87,"2015-07-21 18:00:00",-74.95445,45.27624,"Fort drum"
4310,93.8,103.5,0.89,"2015-05-24 18:00:00",-99.97013,41.50806,"Camp Ashland"
3728,72.4,59.8,0.76,"2016-05-04 12:00:00",-74.95018,45.22991,"Fort drum"
3660,95.1,59.3,0.39,"2016-05-13 18:00:00",-97.47429,32.76037,"Fort Bliss"
4031,69.2,93.8,0.93,"2015-02-11 00:00:00",-75.02076,45.24581,"Fort drum"
3985,75.4,73.6,0.9,"2015-04-13 00:00:00",-115.51587,36.42559,"Hawthorne"
4118,100.6,96.9,0.43,"2016-08-13 00:00:00",-81.53451,27.72172,"Hurlburt"
3561,102.6,83.3,0.63,"2015-09-29 00:00:00",-100.0272,41.497,"Camp Ashland"
4488,86.1,76.5,0.89,"2015-05-03 12:00:00",-81.51338,27.71698,"Hurlburt"
3835,76.7,91.5,0.8,"2016-02-03 12:00:00",-81.54351,27.73274,"Hurlburt"
4167,56.9,101.5,0.85,"2015-09-07 00:00:00",-81.48386,27.65824,"Hurlburt"
3535,72.4,65.7,0.76,"2016-04-26 18:00:00",-97.49487,32.74335,"Fort Bliss"
4002,92.2,89.9,0.83,"2015-10-17 06:00:00",-99.99636,41.49527,"Camp Ashland"
3718,104.5,66.2,0.84,"2015-10-05 00:00:00",-75.04029,45.22394,"Fort drum"
3793,61.2,105.7,0.93,"2015-02-09 12:00:00",-81.53213,27.70878,"Hurlburt"
4109,89.5,79.9,0.81,"2016-01-04 18:00:00",-74.97159,45.23353,"Fort drum"
3961,60.4,69.3,0.74,"2016-06-30 18:00:00",-81.45786,27.66912,"Hurlburt"
4129,64.3,76.7,0.74,"2016-06-29 18:00:00",-81.49266,27.70068,"Hurlburt"
4401,80.4,75.2,0.87,"2015-07-21 18:00:00",-74.98549,45.21944,"Fort drum"
3693,94.6,49.8,0.28,"2016-08-16 12:00:00",-74.95356,45.26612,"Fort drum"
4074,108.6,79.6,0.35,"2016-06-08 18:00:00",-115.47888,36.35814,"Hawthorne"
3998,90.9,78.5,0.65,"2015-12-02 18:00:00",-74.99192,45.23865,"Fort drum"
3865,94.5,55.7,0.8,"2016-01-10 06:00:00",-100.03183,41.50625,"Camp Ashland"
4467,70.8,89.6,0.35,"2016-06-09 00:00:00",-99.99897,41.49113,"Camp Ashland"
3693,74.5,76.1,0.85,"2015-03-20 06:00:00",-74.95356,45.26612,"Fort drum"
3888,74.7,56.8,0.79,"2016-02-04 06:00:00",-97.42542,32.8131,"Fort Bliss"
4375,103.8,93.4,0.78,"2015-07-11 06:00:00",-99.99663,41.45154,"Camp Ashland"
4001,108.9,82,0.78,"2016-03-26 06:00:00",-97.49712,32.77108,"Fort Bliss"
4469,96.8,53.5,0.91,"2015-01-31 12:00:00",-115.48422,36.36955,"Hawthorne"
3763,102.9,106.9,0.8,"2016-01-10 06:00:00",-99.96093,41.45484,"Camp Ashland"
3907,73.7,68,0.74,"2016-07-04 06:00:00",-81.47758,27.67185,"Hurlburt"
3728,107.2,61.6,0.79,"2016-02-14 12:00:00",-74.95018,45.22991,"Fort drum"
4443,74.9,56.9,0.76,"2016-04-23 06:00:00",-97.4717,32.78845,"Fort Bliss"
3793,86.5,81.4,0.94,"2015-01-02 06:00:00",-81.53213,27.70878,"Hurlburt"
3709,69.7,77,0.88,"2015-05-31 12:00:00",-97.43551,32.76468,"Fort Bliss"
3728,101.6,72.9,0.84,"2015-09-29 12:00:00",-74.95018,45.22991,"Fort drum"
3915,92.5,53,0.73,"2016-07-12 06:00:00",-97.46726,32.74475,"Fort Bliss"
3824,73.8,101.2,0.57,"2016-02-28 00:00:00",-115.48108,36.36495,"Hawthorne"
3631,59.6,57.4,0.86,"2015-08-12 18:00:00",-97.46347,32.73806,"Fort Bliss"
3961,92.3,76.7,0.78,"2016-03-06 00:00:00",-81.45786,27.66912,"Hurlburt"
4499,88.4,91.2,0.77,"2016-04-03 00:00:00",-81.50685,27.67311,"Hurlburt"
3916,76.5,75.8,0.91,"2015-03-16 18:00:00",-99.97327,41.53418,"Camp Ashland"
3991,57.5,104,0.84,"2015-09-18 00:00:00",-75.00906,45.21474,"Fort drum"
3897,100.3,60.9,0.91,"2015-03-20 12:00:00",-75.00357,45.27926,"Fort drum"
3631,88.3,89,0.82,"2015-11-18 18:00:00",-97.46347,32.73806,"Fort Bliss"
4002,73.1,98.8,0.93,"2015-02-08 06:00:00",-99.99636,41.49527,"Camp Ashland"
3592,105.2,79.4,0.82,"2015-11-27 00:00:00",-100.049,41.45603,"Camp Ashland"
4091,73.2,70.6,0.88,"2015-06-24 18:00:00",-100.02732,41.45441,"Camp Ashland"
3528,71.2,68.7,0.74,"2016-07-16 18:00:00",-97.47912,32.79395,"Fort Bliss"
4187,86.5,49.2,0.84,"2015-10-06 18:00:00",-97.4721,32.77283,"Fort Bliss"
3915,67.3,83.9,0.81,"2015-12-25 00:00:00",-97.46726,32.74475,"Fort Bliss"
4488,88.3,102.2,0.94,"2015-01-03 18:00:00",-81.51338,27.71698,"Hurlburt"
4118,103.2,77.5,0.67,"2015-10-27 12:00:00",-81.53451,27.72172,"Hurlburt"
3998,78.3,49.7,0.66,"2015-11-22 18:00:00",-74.99192,45.23865,"Fort drum"
3908,61.9,55.1,0.74,"2016-07-05 12:00:00",-81.52576,27.71139,"Hurlburt"
4148,88.8,46.9,0.86,"2015-08-19 18:00:00",-115.49922,36.36511,"Hawthorne"
4467,94.6,93.2,0.77,"2015-06-04 18:00:00",-99.99897,41.49113,"Camp Ashland"
3915,93.4,91.3,0.8,"2016-01-17 18:00:00",-97.46726,32.74475,"Fort Bliss"
4448,93.2,96.4,0.83,"2015-11-13 06:00:00",-99.9792,41.51784,"Camp Ashland"
3963,86.1,106.2,0.91,"2015-03-13 18:00:00",-97.46018,32.78075,"Fort Bliss"
4446,84.2,47.9,0.76,"2016-05-15 12:00:00",-81.48899,27.66718,"Hurlburt"
4340,104.9,55.7,0.83,"2015-10-28 12:00:00",-115.45178,36.43805,"Hawthorne"
3736,58.5,62.2,0.83,"2015-11-10 12:00:00",-75.03974,45.2421,"Fort drum"
4499,105.7,81.8,0.94,"2015-01-06 12:00:00",-81.50685,27.67311,"Hurlburt"
4493,73.2,66,0.78,"2016-03-10 18:00:00",-74.96174,45.27124,"Fort drum"
4197,73.5,92.9,0.79,"2016-02-07 00:00:00",-97.4297,32.79111,"Fort Bliss"
3933,92.6,105.2,0.49,"2016-06-07 00:00:00",-74.95027,45.26996,"Fort drum"
4167,100.3,83.1,0.88,"2015-07-04 00:00:00",-81.48386,27.65824,"Hurlburt"
3535,92.3,107.3,0.8,"2016-01-18 06:00:00",-97.49487,32.74335,"Fort Bliss"
3718,98,74.7,0.92,"2015-02-13 18:00:00",-75.04029,45.22394,"Fort drum"
4407,103.2,46.4,0.88,"2015-06-17 18:00:00",-81.47339,27.66155,"Hurlburt"
4247,104.4,49.3,0.93,"2015-02-08 18:00:00",-100.00995,41.49106,"Camp Ashland"
3513,59.1,59.9,0.89,"2015-05-07 00:00:00",-74.98968,45.20481,"Fort drum"
3985,105.2,79.3,0.85,"2015-09-04 12:00:00",-115.51587,36.42559,"Hawthorne"
3734,106.4,89.8,0.81,"2015-12-29 00:00:00",-115.52564,36.43696,"Hawthorne"
4141,85.4,72.1,0.79,"2016-02-21 06:00:00",-75.00767,45.23878,"Fort drum"
3888,86.6,87.6,0.81,"2016-01-06 06:00:00",-97.42542,32.8131,"Fort Bliss"
4443,99.2,86,0.83,"2015-11-08 00:00:00",-97.4717,32.78845,"Fort Bliss"
4002,66.5,65.2,0.9,"2015-04-25 18:00:00",-99.99636,41.49527,"Camp Ashland"
4277,66.8,92.3,0.74,"2016-07-12 00:00:00",-115.45626,36.39939,"Hawthorne"
4310,74.7,109.9,0.9,"2015-04-21 12:00:00",-99.97013,41.50806,"Camp Ashland"
3991,83.1,95.9,0.82,"2015-11-09 18:00:00",-75.00906,45.21474,"Fort drum"
3908,77.9,57.9,0.87,"2015-07-28 12:00:00",-81.52576,27.71139,"Hurlburt"
