"","grade","male","raceeth","preschool","expectBachelors","motherHS","motherBachelors","motherWork","fatherHS","fatherBachelors","fatherWork","selfBornUS","motherBornUS","fatherBornUS","englishAtHome","computerForSchoolwork","read30MinsADay","minutesPerWeekEnglish","studentsInEnglish","schoolHasLibrary","publicSchool","urban","schoolSize","readingScore"
"16",10,1,"White",1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,405,25,1,1,0,899,459.57
"17",10,0,"Black",NA,NA,1,NA,1,1,0,0,1,1,1,1,1,0,350,23,1,1,0,899,539.06
"18",10,1,"Hispanic",1,1,1,0,1,1,0,1,0,0,0,1,1,0,350,28,1,1,0,899,513.84
"19",10,1,"White",1,0,1,NA,1,1,NA,0,1,1,1,1,1,0,270,20,1,1,0,899,521.22
"20",10,0,"Black",1,0,1,0,1,1,0,1,1,1,1,1,1,0,270,18,1,1,0,996,380.34
"21",10,1,"Black",1,1,1,0,1,1,1,1,1,1,1,1,1,0,270,20,1,1,0,996,467.1
"22",9,1,"White",1,0,1,NA,0,1,NA,1,1,1,1,1,1,1,210,15,1,1,0,996,430.47
"23",11,0,"White",1,1,1,1,0,1,0,1,1,1,1,1,1,0,270,NA,1,1,0,996,597.53
"24",10,1,"Native Hawaiian/Other Pacific Islander",1,1,1,1,0,1,1,1,1,1,NA,0,1,0,270,20,1,1,0,996,605.31
"25",10,1,"Black",1,1,1,0,1,1,1,1,1,1,1,1,1,1,270,14,1,1,0,996,482.5
"26",10,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,1,0,270,20,1,1,0,996,545.73
"27",11,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,270,20,1,1,0,996,516.1
"28",11,0,"Black",1,1,1,NA,1,1,NA,NA,1,1,1,1,1,0,NA,20,1,1,0,996,487.74
"29",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,0,0,270,25,1,1,0,1273,412.67
"30",10,1,"White",1,1,1,1,1,1,NA,1,1,1,1,1,1,0,270,30,1,1,0,1273,573.17
"31",9,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,630,30,1,1,0,1273,354.6
"32",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,NA,1,270,25,1,1,0,1273,512.48
"33",10,0,"White",1,1,1,NA,0,1,1,1,1,1,1,1,1,1,270,20,1,1,0,1273,565.75
"34",9,0,"White",1,1,1,0,0,0,0,1,1,1,1,1,1,0,450,20,1,1,0,1273,567.74
"35",10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,1,120,20,1,1,0,1273,716.37
"36",10,1,"More than one race",1,0,1,NA,0,NA,NA,0,1,0,1,1,1,1,270,30,1,1,0,1273,616.3
"37",10,1,"White",1,1,1,NA,0,1,1,1,1,1,1,1,1,1,236,20,1,1,0,929,504.86
"38",10,0,"White",1,1,1,NA,1,1,1,1,1,1,1,1,1,0,275,21,1,1,0,929,606.9
"39",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,232,23,1,1,0,929,669.61
"40",10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,275,20,1,1,0,929,462.88
"41",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,1,0,929,377.8
"42",10,0,"White",1,0,1,NA,0,1,NA,1,1,1,1,1,1,0,290,10,1,1,0,929,439.28
"43",11,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,300,20,1,1,0,929,473.28
"44",10,0,"More than one race",1,1,1,0,1,1,0,0,1,1,1,1,1,1,300,25,1,1,0,929,595.62
"45",10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,315,22,1,1,1,2004,409.02
"46",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,275,24,1,1,1,2004,550.58
"47",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,275,23,1,1,1,2004,606.43
"48",10,1,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,250,30,1,1,1,2004,428.7
"49",10,0,"Asian",1,1,1,0,1,1,0,1,1,0,0,1,1,0,250,24,1,1,1,2004,561.62
"50",10,0,"Hispanic",1,0,1,0,1,1,0,1,1,1,1,1,1,0,NA,10,1,1,1,2004,372.4
"51",10,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,1,275,20,1,1,1,2004,623.67
"52",10,1,"Hispanic",1,0,1,0,0,1,0,1,1,0,0,1,1,0,225,30,1,1,1,2004,475.92
"53",10,0,"Hispanic",0,0,0,0,0,1,NA,1,1,1,0,1,1,0,250,35,1,1,1,2004,443.1
"54",10,0,"White",1,1,1,0,0,0,0,0,1,1,1,1,1,0,250,28,1,1,1,2004,541.76
"55",11,0,"Hispanic",1,0,1,1,1,0,NA,0,1,0,0,1,1,0,280,25,1,1,1,3592,441.75
"56",10,0,"Hispanic",1,1,0,0,0,0,0,0,1,0,0,0,1,0,250,30,1,1,1,3592,336.65
"57",10,1,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,1,1,0,300,30,1,1,1,3592,694.46
"58",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,300,50,NA,1,1,3592,483.77
"59",10,1,"White",1,0,1,0,0,1,0,1,1,1,1,1,1,0,275,45,1,1,1,3592,534.04
"60",10,0,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,0,290,35,1,1,1,3592,545.5
"61",11,0,"Hispanic",0,0,1,NA,0,1,NA,1,1,0,0,1,1,1,NA,20,1,1,1,3592,461.53
"62",10,1,"White",1,1,1,0,0,1,0,1,1,0,1,1,1,0,300,28,1,1,1,3592,514.56
"63",11,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,200,30,1,1,1,2640,498.31
"64",11,1,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,0,1,0,170,26,1,1,1,2640,514.64
"65",10,1,"Hispanic",1,0,1,0,0,0,0,1,1,0,0,1,1,0,200,19,1,1,1,2640,414.51
"66",11,0,"White",1,1,1,NA,1,1,1,1,1,1,1,1,1,1,225,20,1,1,1,2640,602.85
"67",11,0,"Hispanic",1,1,1,NA,1,1,NA,0,1,1,1,1,1,1,45,25,1,1,1,2640,414.18
"68",11,1,"Black",1,1,1,0,1,1,0,1,1,0,1,1,1,0,225,16,1,1,1,2640,356.23
"69",10,0,"More than one race",1,0,1,NA,1,1,NA,1,1,1,1,1,1,0,NA,NA,1,1,1,2640,231.71
"70",11,0,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,1,1,0,225,20,1,1,1,2640,510.78
"71",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,1,195,27,1,1,1,2640,516.26
"72",11,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,270,24,1,1,0,1680,555.45
"73",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,270,25,1,1,0,1680,624.94
"74",10,1,"Black",1,1,1,1,1,1,1,1,1,0,1,1,1,0,270,20,1,1,0,1680,456.36
"75",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,0,1680,662.27
"76",10,0,"Black",1,1,1,1,1,1,1,1,1,1,0,1,1,1,270,17,1,1,0,1680,626.92
"77",10,0,"White",1,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1000,20,1,1,0,149,558.29
"78",11,0,"White",1,1,0,0,0,1,0,1,1,1,1,1,0,1,250,15,1,1,0,149,547.64
"79",10,0,"White",0,1,1,1,1,1,0,0,1,1,1,1,0,1,225,24,1,1,0,149,639
"80",10,1,"White",1,0,1,1,1,1,NA,1,1,1,0,1,1,0,225,20,1,1,0,149,525.39
"81",10,0,"White",1,1,1,0,1,1,0,NA,1,1,1,1,1,0,250,35,1,1,0,149,567.98
"82",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,225,18,1,1,0,149,450.09
"83",9,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,45,6,1,1,0,149,413.07
"84",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,225,40,0,1,0,149,593.16
"85",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,200,30,1,1,0,149,510.78
"86",10,0,"Hispanic",1,1,0,0,0,0,0,1,1,0,0,0,1,0,240,16,1,1,0,247,526.91
"87",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,220,20,1,1,0,247,521.78
"88",10,1,"Hispanic",1,0,1,0,0,1,0,1,1,1,1,1,1,0,225,15,1,1,0,247,589.52
"89",10,0,"White",1,1,1,0,0,1,0,0,1,1,1,1,1,0,240,9,1,1,0,247,552.17
"90",9,0,"White",1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,275,40,1,1,0,247,581.8
"91",10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,0,240,15,1,1,0,247,691.67
"92",10,1,"White",1,0,1,NA,1,1,NA,1,1,1,1,1,1,0,240,10,1,1,0,247,609.24
"93",11,0,"Hispanic",1,1,0,0,0,1,1,1,1,1,1,1,0,1,250,31,1,1,1,1574,527.15
"94",10,0,"Hispanic",1,1,1,0,1,0,0,1,1,0,0,1,1,1,225,25,1,1,1,1574,433.72
"95",10,1,"Hispanic",1,0,0,0,0,0,0,1,1,0,0,0,0,0,225,30,1,1,1,1574,490.67
"96",9,1,"Hispanic",1,0,1,0,0,NA,0,0,1,NA,NA,NA,1,0,450,NA,1,1,1,1574,444.18
"97",10,0,"Black",1,1,1,1,0,1,0,0,1,1,1,1,1,0,225,28,1,1,1,1574,486.07
"98",10,1,"Hispanic",0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,30,1,1,1,1574,423.09
"99",9,1,"Hispanic",1,1,1,0,0,1,0,1,1,0,0,1,1,1,225,28,1,1,1,1574,344.13
"100",10,0,"Hispanic",1,1,0,0,1,NA,NA,NA,1,0,0,0,1,0,230,30,1,1,1,1574,575.68
"101",10,1,"White",1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,200,20,1,1,0,NA,592.33
"102",10,1,"Hispanic",1,0,1,0,0,1,0,1,1,1,1,1,1,0,225,20,1,1,0,NA,476
"103",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,210,20,1,1,0,NA,443.62
"104",11,0,"White",1,1,0,0,1,0,0,1,1,1,1,1,1,0,200,30,1,1,0,NA,397.18
"105",10,0,"White",0,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,210,8,NA,1,0,NA,501.01
"106",11,1,"More than one race",1,1,1,0,1,1,0,0,1,1,0,1,1,0,215,17,1,1,0,NA,639.78
"107",10,1,"Hispanic",0,1,0,0,0,1,0,1,1,0,0,0,0,0,350,21,1,1,0,1101,460.13
"108",10,0,"Hispanic",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,150,16,1,1,0,1101,318.3
"109",9,0,"White",1,0,1,1,1,1,1,1,1,1,1,1,1,0,30,NA,1,1,0,1101,312.74
"110",11,0,"Hispanic",1,0,0,0,1,NA,NA,NA,1,0,0,1,0,0,70,NA,1,1,0,1101,414.5
"111",9,1,"White",1,0,1,0,0,1,1,1,1,1,1,1,1,0,NA,20,1,1,0,1101,379.16
"112",9,0,"More than one race",0,1,0,0,1,0,0,1,1,1,1,1,1,0,350,25,1,1,0,1101,378.04
"113",11,0,"White",0,1,1,0,1,1,0,0,1,1,1,1,1,1,525,25,1,1,0,1101,669.34
"114",9,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,NA,NA,1,1,0,1101,298.83
"115",10,1,"Hispanic",0,0,1,0,0,1,0,1,0,0,0,0,1,1,300,25,1,1,0,1101,573.17
"116",9,0,"Hispanic",1,1,0,0,0,0,0,0,1,0,0,0,1,0,375,28,1,1,0,1101,412.91
"117",10,1,"White",0,0,1,NA,1,1,0,1,1,1,1,1,1,0,350,NA,1,1,0,1101,394.55
"118",9,0,"Hispanic",0,1,0,0,1,0,0,1,1,1,1,1,1,1,NA,25,1,1,0,1101,399.01
"119",11,0,"Hispanic",1,1,1,0,0,0,0,1,1,0,0,0,1,1,300,25,1,1,1,2144,610.8
"120",10,1,"Hispanic",1,1,1,0,0,0,0,1,1,0,0,0,1,0,280,30,0,1,1,2144,538.13
"121",10,0,"Black",1,1,1,0,0,1,1,0,1,1,1,1,1,1,55,30,1,1,1,2144,514.59
"122",10,0,"Asian",1,1,1,1,1,1,NA,1,0,0,0,0,1,0,295,30,1,1,1,2144,484.57
"123",10,1,"American Indian/Alaska Native",1,0,1,0,1,0,0,0,1,1,1,1,0,0,225,24,1,1,1,2144,417.64
"124",10,0,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,0,1,0,250,30,1,1,1,2144,459.94
"125",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,250,20,1,1,0,1848,613.02
"126",10,1,"Black",1,1,1,0,1,1,0,NA,1,1,1,1,1,0,250,30,1,1,0,1848,498.93
"127",9,0,"White",1,0,0,0,1,1,0,1,1,1,1,1,1,0,NA,NA,NA,1,0,1848,335.14
"128",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,25,1,1,0,1848,551.14
"129",10,1,"White",0,1,0,0,0,0,0,1,1,1,1,1,0,0,225,30,1,1,0,1848,537.89
"130",11,1,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,225,20,1,1,0,1848,604.67
"131",10,0,"Black",1,1,1,1,1,1,0,1,1,1,1,1,1,0,250,24,1,1,0,1848,510.14
"132",10,1,"White",0,0,1,1,1,1,0,1,1,1,1,1,0,0,225,20,1,1,0,1848,480.97
"133",9,0,"White",1,1,1,0,1,1,NA,1,1,NA,1,1,1,0,225,26,1,1,0,1848,462.96
"134",10,1,"Black",1,1,1,0,0,1,0,NA,1,1,1,1,1,0,225,29,1,1,0,1848,538.85
"135",9,1,"Hispanic",1,0,1,0,0,1,0,1,1,1,1,1,1,0,NA,29,1,1,0,1848,499.09
"136",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,NA,23,1,1,0,361,538.43
"137",10,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,NA,NA,1,1,0,361,394.95
"138",10,0,"Hispanic",1,1,0,0,0,0,0,1,1,0,0,1,1,0,1200,25,1,1,0,361,458.03
"139",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,NA,NA,1,1,0,361,566.39
"140",11,0,"Black",1,1,1,1,1,1,1,1,1,1,0,1,1,1,200,28,1,1,0,361,497.43
"141",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,26,1,1,0,361,465.34
"142",10,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,900,22,1,1,0,361,462.21
"143",9,1,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,225,NA,1,1,0,361,337.71
"144",11,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,25,1,1,0,361,499.66
"145",10,0,"Black",1,1,1,1,1,1,NA,1,1,1,1,1,1,0,450,20,1,1,0,361,556.94
"146",10,1,"More than one race",1,1,1,0,1,1,0,1,1,1,1,1,1,0,500,30,1,1,0,361,503.66
"147",11,1,"Black",0,1,1,0,1,1,0,1,1,1,1,1,1,1,300,27,1,1,0,361,554.01
"148",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,1,1,0,361,548.31
"149",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,600,30,1,1,0,361,551.29
"150",11,1,"Black",1,1,1,0,1,1,0,0,1,0,0,1,1,0,225,20,1,1,0,361,541.02
"151",11,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,NA,NA,1,1,0,361,372
"152",10,1,"Black",NA,1,1,1,1,1,1,0,1,1,1,1,1,0,NA,18,NA,1,0,868,332.9
"153",11,1,"Black",0,1,1,1,1,1,1,1,1,1,1,1,1,0,250,25,1,1,0,868,412.59
"154",10,1,"Asian",1,1,1,1,1,1,1,1,1,0,0,1,1,1,350,23,1,1,0,868,406.5
"155",10,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,250,25,1,1,0,868,500.53
"156",10,1,"Black",1,1,1,NA,1,1,NA,1,1,1,1,1,0,0,250,22,1,1,0,868,465.58
"157",10,0,"Black",1,0,1,0,1,1,0,0,1,1,1,1,1,1,50,27,1,1,0,868,399.72
"158",10,1,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,NA,NA,1,0,868,408.9
"159",10,1,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,0,275,25,1,1,0,868,576.37
"160",11,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,20,1,1,0,868,440.73
"161",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,225,27,1,1,0,868,535.57
"162",11,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,16,1,1,0,868,417.28
"163",10,1,"Black",1,1,NA,NA,1,NA,NA,NA,1,1,1,1,0,0,500,17,1,1,0,868,346.61
"164",10,0,"Black",0,0,1,0,0,NA,NA,NA,1,1,1,1,1,0,378,32,1,1,1,1276,381.45
"165",10,1,"Black",0,1,NA,1,0,1,0,1,1,1,1,1,0,0,60,NA,1,1,1,1276,401.45
"166",10,1,"Black",1,0,1,0,0,1,0,0,1,1,1,1,0,0,NA,NA,1,1,1,1276,299.64
"167",10,0,"Asian",1,1,1,0,1,1,0,0,1,0,0,0,1,1,250,30,1,1,1,1276,508.95
"168",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,1,250,20,1,1,1,1276,639.39
"169",10,0,"Black",1,1,1,0,0,1,0,1,1,1,1,1,1,1,50,25,1,1,1,1276,432.93
"170",11,1,"Black",1,1,1,1,1,NA,NA,NA,1,1,NA,1,1,0,275,30,1,1,1,1276,481.21
"171",11,1,"Black",0,NA,0,0,1,NA,NA,NA,1,1,1,1,1,0,315,10,1,1,1,1276,358.08
"172",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,20,1,1,1,1276,677.13
"173",11,1,"White",1,1,1,NA,NA,NA,0,0,1,0,1,1,1,1,100,25,1,1,1,1276,583.59
"174",9,0,"Black",1,1,1,0,0,1,0,1,1,1,1,1,1,0,NA,27,1,1,1,1276,422.68
"175",9,0,"Black",0,0,NA,NA,0,NA,NA,NA,1,1,NA,1,0,0,NA,16,1,1,1,1276,206.6
"176",10,0,"White",0,1,1,1,1,1,0,0,1,1,1,1,1,1,250,32,1,1,0,316,592.84
"177",10,1,"Hispanic",1,1,1,1,1,1,0,1,1,1,1,1,1,1,275,30,1,1,0,316,605.15
"178",10,0,"White",1,1,1,1,1,1,1,0,1,1,1,1,1,1,55,30,1,1,0,316,685.79
"179",10,0,"White",1,1,1,1,1,1,1,0,1,1,1,1,1,0,275,32,1,1,0,316,592.84
"180",11,1,"White",1,0,1,1,1,1,0,0,1,1,1,1,0,1,550,28,1,1,0,316,620.71
"181",10,1,"White",0,1,1,0,1,1,1,0,1,1,1,1,0,1,1100,22,1,1,0,316,539.34
"182",10,0,"More than one race",1,0,0,0,0,0,0,1,1,1,1,1,0,0,275,20,1,1,0,316,461.61
"183",11,1,"White",0,1,1,0,1,1,1,0,1,1,1,1,1,0,165,29,1,1,0,316,482.82
"184",10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,235,20,1,0,1,356,545.03
"185",10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,200,20,1,0,1,356,574.05
"186",10,1,"White",1,0,1,1,1,1,1,1,1,1,1,1,1,0,225,18,1,0,1,356,522.1
"187",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,1,0,1,356,664.66
"188",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,225,20,1,0,1,356,661.16
"189",11,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,235,NA,1,0,1,356,496.85
"190",10,1,"White",1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,225,14,1,0,1,356,550.56
"191",11,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,225,16,1,0,1,356,482.82
"192",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,240,15,1,0,1,356,598.58
"193",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,13,1,0,1,356,546.53
"194",10,1,"Black",0,1,0,0,0,0,0,0,1,0,0,0,1,0,250,25,1,1,1,1723,399.52
"195",10,1,"Black",1,0,1,NA,1,1,1,1,0,1,0,1,1,1,NA,NA,1,1,1,1723,379
"196",9,1,"Black",0,1,1,NA,1,1,NA,1,1,1,1,1,1,0,250,23,1,1,1,1723,366.09
"197",10,1,"White",1,1,1,0,1,0,0,0,1,1,1,1,1,0,250,27,1,1,1,1723,437.36
"198",9,0,"Black",0,1,1,1,0,0,0,0,1,1,1,1,1,0,200,28,1,1,1,1723,399.41
"199",10,1,"White",0,1,1,1,1,1,0,1,1,1,1,1,1,0,240,30,1,1,0,196,473.92
"200",10,1,"White",0,0,0,0,1,1,0,1,1,1,1,1,0,0,180,20,1,1,0,196,466.7
"201",10,0,"White",1,1,1,NA,1,1,NA,0,1,1,1,1,1,1,270,18,1,1,0,196,551.37
"202",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,270,22,1,1,0,196,688.17
"203",10,1,"White",0,0,1,0,1,0,0,0,1,1,0,1,1,1,180,NA,0,1,0,196,474.32
"204",10,1,"White",0,1,1,0,0,1,1,1,1,1,1,1,1,1,270,22,1,1,0,196,624.79
"205",10,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,1,0,270,20,1,1,0,196,467.09
"206",10,1,"White",1,1,1,1,1,1,NA,1,1,1,1,1,1,0,240,20,1,1,0,196,590.96
"207",10,1,"White",1,0,1,NA,1,1,NA,1,1,1,1,1,1,0,315,15,NA,1,0,196,333.31
"208",10,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,250,14,1,0,1,915,602.14
"209",10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,250,15,1,0,1,915,626.4
"210",10,1,"White",1,1,1,1,0,1,NA,0,1,0,1,1,1,0,250,20,1,0,1,915,671.45
"211",10,0,"White",1,1,1,1,1,1,1,1,1,1,0,1,1,1,225,15,1,0,1,915,559.16
"212",11,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,250,20,1,0,1,915,631.37
"213",10,1,"White",1,1,1,1,0,1,1,1,1,0,1,1,1,0,250,16,1,0,1,915,561.78
"214",10,0,"Asian",1,1,1,1,1,1,1,1,1,0,0,1,1,1,250,15,1,0,1,915,687.3
"215",10,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,225,16,1,0,1,915,505.22
"216",10,0,"Asian",1,1,1,1,1,1,1,1,0,1,0,1,1,0,250,14,1,0,1,915,551.53
"217",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,15,1,0,1,915,617.42
"218",10,1,"White",0,0,1,1,0,1,1,1,1,1,1,1,1,0,225,14,1,0,1,915,558.17
"219",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,275,17,1,0,1,915,589.98
"220",10,1,"Hispanic",1,0,0,0,0,1,0,1,1,1,1,1,0,0,285,20,1,1,1,NA,380.76
"221",11,0,"Hispanic",0,1,1,0,0,0,0,1,1,0,0,0,1,0,342,25,1,1,1,NA,586.09
"222",11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,389.95
"223",11,1,"Hispanic",0,1,0,0,1,1,NA,0,1,0,0,0,1,0,50,20,1,1,1,NA,474.32
"224",9,1,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,1,1,0,300,32,1,1,1,NA,425.42
"225",11,0,"More than one race",0,1,1,0,1,1,1,1,1,1,1,1,1,1,56,24,1,1,1,NA,373.98
"226",11,1,"Hispanic",1,1,1,0,0,1,NA,1,0,0,0,0,1,1,300,36,1,1,1,NA,567.07
"227",10,0,"Hispanic",0,1,1,0,0,1,0,1,1,0,0,1,1,1,300,36,1,1,1,NA,429.59
"228",10,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,285,30,1,1,1,NA,402.65
"229",11,1,"Black",0,0,0,0,0,1,0,1,1,1,1,1,1,0,360,30,1,1,1,NA,414.43
"230",10,1,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,280,30,0,1,1,502,670.17
"231",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,275,27,0,1,1,502,576.85
"232",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,300,28,0,1,1,502,594.11
"233",10,1,"White",0,1,0,0,1,1,1,1,1,1,1,1,1,0,54,NA,0,1,1,502,402.73
"234",11,0,"Hispanic",0,1,1,0,1,1,1,1,1,0,0,1,1,0,275,20,0,1,1,502,673.08
"235",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,280,26,0,1,1,502,582.14
"236",9,1,"White",1,0,1,NA,1,1,NA,0,1,1,1,1,1,0,350,30,NA,1,1,502,412.27
"237",10,0,"White",0,1,1,0,0,1,1,1,1,1,1,1,1,0,300,30,1,1,0,1913,587.36
"238",10,1,"White",0,1,1,1,0,1,1,1,0,0,0,1,1,1,275,28,1,1,0,1913,586.47
"239",10,1,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,300,30,1,1,0,1913,428.78
"240",11,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,300,25,1,1,0,1913,599.2
"241",9,1,"White",0,0,1,1,0,1,1,0,1,1,1,1,1,0,300,25,NA,1,0,1913,512.24
"242",11,1,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,0,300,25,1,1,0,1913,504.78
